"Hoy tenía un examen de lenguaje y quería saber si me puedes ayudar a distinguir el homófono de votar:","Botar","Sufragio","Volar","Votación","15","Los homógrafos son palabras que suenan muy parecido pero se escriben distinto, ¿Entendiste?"
"El mundo de la ortografía es tan grande como el mundo de los vinos, por eso me confundo ¿Me pudieras ayudar diciéndome el homógrafo de vino?","Vino","Bino","Bebida","Bello","15","Los homógrafos son palabras que se escriben igual, pero, que cambian según el contexto, ""me tomo un vino"" a decir ""alguien vino"""
"Mis alumnos se suelen confundir mucho al escribir y buscar el significado de la palabra bello ¿Me lo pudieras decir tú?","Algo hermoso","Pelo corto","Instrumento musical","Mantilla de tela","15","Bello con ""B"" es un sinónimo de hermosura o lindura y viene de la palabra Belleza, lo demás no tiene mucho que ver"
"Vengo de vacaciones desde muy lejos y quería saber ¿Cuál de estas opciones es homófona de ola?","Hola","Ola","Wave","Olla","15","Los homófonos son palabras que suenan exactamente igual, más, se escriben de manera distinta, como “Hola” y “Ola"
"Ay, me siento mareado y no logro distinguir bien ¿Puedes ayudarme a seleccionar la correcta?","Tuviste","Tubiste","Tuvíste","Tubisté","15","Abre bien los ojos, la forma correcta de escribirlo es ""tuviste"" las demás ni si quiera existen."
"¡Ayuda! una de estas palabras se robó la tilde diacrítica, ¿A quién no le pertenece tenerla?","Mís","Él","Tú","Dé","15","La tilde diacrítica ayuda a distinguir palabras que se escriben igual, sin embargo, no existe la palabra Mís con tilde, solo existe sin tilde"
"Siempre he visto que la palabra Si No se escribe separada ¿pero cuál será el significado de Sino junta? No lo sé… Ayúdame","Una afirmación a una negación","Parte del cuerpo de un cerdo","Un destino que se debe cumplir","Marca en la piel","15","Sino se ocupa para introducir una afirmación que se opone a una negación anterior, y ya, lo demás no existe"
"¡Imagínate que te darán un millón de dólares si respondes bien! ¿Cuál de estas opciones es la palabra correcta para hacerte millonario?","Beneficencia","Beneficencía","Beneficiencia","Benefisiencia","20","Mas te vale haber abierto bien los ojos. Si obtuviste la respuesta correcta puedes tomar 2 monedas, esta vez invita la casa"
"Nunca supe ubicarme por estos rumbos, ¿Me puedes indicar cual de estas palabras me puede ayudar a no perderme la próxima vez?","Ayá","Ay","Hay","Hayá","15","Ubícate, ""ayá"" marca una dirección, los otros no tanto"
"Sinceramente y aún con tantos años trabajando en fontanería no recuerdo la diferencia de tubo y tuvo ¿Me puede ayudar con el significado de tubo?","Canal para trasportar cosas","Del verbo ""Tener""","De la palabra basto","Lugar","15","Tubo con ""B"" es esa cosa con la que están hechas las cañerías."
"Sinceramente y aún con tantos años trabajando en fontanería no recuerdo la diferencia de tubo y tuvo ¿Me puede ayudar con el significado de tuvo?","Del verbo ""Tener""","Canal para transportar cosas","De la palabra basto","Lugar","15","Tuvo con ""V"" es una conjugación del verbo tener"
